2025.08.01 12:20:21 INFO  no build target found for /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/scala_wordle_bot/wordle_bot.scala. Using presentation compiler with project's scala-library version: 3.3.6[0m
2025.08.01 12:20:22 WARN  Could not find semantic tokens for: file:///Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/scala_wordle_bot/wordle_bot.scala[0m
2025.08.01 12:20:23 INFO  Running List(/Users/harshithlangu/Library/Application Support/Coursier/bin/scala-cli, setup-ide, /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm)[0m
2025.08.01 12:20:23 INFO  Attempting to connect to the build server...[0m
2025.08.01 12:20:23 INFO  Running BSP server List(/Users/harshithlangu/Library/Application Support/Coursier/bin/.scala-cli.aux, bsp, --json-options, /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/.scala-build/ide-options-v2.json, --json-launcher-options, /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/.scala-build/ide-launcher-options.json, --envs-file, /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/.scala-build/ide-envs.json, /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm)[0m
2025.08.01 12:20:23 INFO  tracing is disabled for protocol BSP, to enable tracing of incoming and outgoing JSON messages create an empty file at /Users/harshithlangu/Desktop/Sukeerthi/Wordle_improved_LLM/Wordle_llm/.metals/bsp.trace.json or /Users/harshithlangu/Library/Caches/org.scalameta.metals/bsp.trace.json[0m
2025.08.01 12:20:23 INFO  time: Connected to build server in 0.89s[0m
2025.08.01 12:20:24 INFO  Connected to Build server: scala-cli v1.8.0[0m
2025.08.01 12:20:24 INFO  compiling wordle_llm_d5c0a6989e (1 scala source)[0m
2025.08.01 12:20:24 INFO  time: compiled Wordle_llm_d5c0a6989e in 0.18s[0m
2025.08.01 12:20:25 INFO  time: indexed workspace in 2.18s[0m
2025.08.01 12:21:58 INFO  compiling wordle_llm_d5c0a6989e (1 scala source)[0m
2025.08.01 12:21:58 INFO  time: indexed workspace in 0.76s[0m
2025.08.01 12:22:24 INFO  no build target found for /private/var/folders/18/fy_wy6013sg7z2nkqqqkxj4h0000gn/T/gemini-cli-tool-modify-diffs/gemini-cli-modify-wordle_solver-old-1754031141735.scala. Using presentation compiler with project's scala-library version: 3.3.6[0m
2025.08.01 12:22:24 INFO  no build target found for /private/var/folders/18/fy_wy6013sg7z2nkqqqkxj4h0000gn/T/gemini-cli-tool-modify-diffs/gemini-cli-modify-wordle_solver-new-1754031141735.scala. Using presentation compiler with project's scala-library version: 3.3.6[0m
2025.08.01 12:22:24 INFO  no build target found for /private/var/folders/18/fy_wy6013sg7z2nkqqqkxj4h0000gn/T/gemini-cli-tool-modify-diffs/gemini-cli-modify-wordle_solver-new-1754031141735.scala. Using presentation compiler with project's scala-library version: 3.3.6[0m
2025.08.01 12:22:24 INFO  no build target found for /private/var/folders/18/fy_wy6013sg7z2nkqqqkxj4h0000gn/T/gemini-cli-tool-modify-diffs/gemini-cli-modify-wordle_solver-new-1754031141735.scala. Using presentation compiler with project's scala-library version: 3.3.6[0m
2025.08.01 12:22:26 INFO  Running List(/Users/harshithlangu/Library/Application Support/Coursier/bin/scala-cli, bsp, --workspace, /var/folders/18/fy_wy6013sg7z2nkqqqkxj4h0000gn/T/metals-scala-cli2991380347196907667, --semantic-db-source-root, /private/var/folders/18/fy_wy6013sg7z2nkqqqkxj4h0000gn/T/gemini-cli-tool-modify-diffs, /private/var/folders/18/fy_wy6013sg7z2nkqqqkxj4h0000gn/T/gemini-cli-tool-modify-diffs/gemini-cli-modify-wordle_solver-new-1754031141735.scala)[0m
2025.08.01 12:22:26 INFO  Running List(/Users/harshithlangu/Library/Application Support/Coursier/bin/scala-cli, bsp, --workspace, /var/folders/18/fy_wy6013sg7z2nkqqqkxj4h0000gn/T/metals-scala-cli2991380347196907667, --semantic-db-source-root, /private/var/folders/18/fy_wy6013sg7z2nkqqqkxj4h0000gn/T/gemini-cli-tool-modify-diffs, /private/var/folders/18/fy_wy6013sg7z2nkqqqkxj4h0000gn/T/gemini-cli-tool-modify-diffs/gemini-cli-modify-wordle_solver-old-1754031141735.scala)[0m
2025.08.01 12:22:26 INFO  tracing is disabled for protocol BSP, to enable tracing of incoming and outgoing JSON messages create an empty file at /private/var/folders/18/fy_wy6013sg7z2nkqqqkxj4h0000gn/T/gemini-cli-tool-modify-diffs/.metals/bsp.trace.json or /Users/harshithlangu/Library/Caches/org.scalameta.metals/bsp.trace.json[0m
2025.08.01 12:22:26 INFO  tracing is disabled for protocol BSP, to enable tracing of incoming and outgoing JSON messages create an empty file at /private/var/folders/18/fy_wy6013sg7z2nkqqqkxj4h0000gn/T/gemini-cli-tool-modify-diffs/.metals/bsp.trace.json or /Users/harshithlangu/Library/Caches/org.scalameta.metals/bsp.trace.json[0m
2025.08.01 12:22:26 INFO  Connected to Scala CLI server v1.8.0[0m
